city,api_city,province,source_name
北京,北京市,北京,北京市
天津,天津市,天津,天津市
上海,上海市,上海,上海市
重庆,重庆市,重庆,重庆市
石家庄,石家庄市,河北,石家庄市
唐山,唐山市,河北,唐山市
秦皇岛,秦皇岛市,河北,秦皇岛市
邯郸,邯郸市,河北,邯郸市
邢台,邢台市,河北,邢台市
保定,保定市,河北,保定市
张家口,张家口市,河北,张家口市
承德,承德市,河北,承德市
沧州,沧州市,河北,沧州市
廊坊,廊坊市,河北,廊坊市
衡水,衡水市,河北,衡水市
太原,太原市,山西,太原市
大同,大同市,山西,大同市
阳泉,阳泉市,山西,阳泉市
长治,长治市,山西,长治市
晋城,晋城市,山西,晋城市
朔州,朔州市,山西,朔州市
晋中,晋中市,山西,晋中市
运城,运城市,山西,运城市
忻州,忻州市,山西,忻州市
临汾,临汾市,山西,临汾市
吕梁,吕梁市,山西,吕梁市
呼和浩特,呼和浩特市,内蒙古,呼和浩特市
包头,包头市,内蒙古,包头市
乌海,乌海市,内蒙古,乌海市
赤峰,赤峰市,内蒙古,赤峰市
通辽,通辽市,内蒙古,通辽市
鄂尔多斯,鄂尔多斯市,内蒙古,鄂尔多斯市
呼伦贝尔,呼伦贝尔市,内蒙古,呼伦贝尔市
巴彦淖尔,巴彦淖尔市,内蒙古,巴彦淖尔市
乌兰察布,乌兰察布市,内蒙古,乌兰察布市
兴安,兴安盟,内蒙古,兴安盟
锡林郭勒,锡林郭勒盟,内蒙古,锡林郭勒盟
阿拉善,阿拉善盟,内蒙古,阿拉善盟
沈阳,沈阳市,辽宁,沈阳市
大连,大连市,辽宁,大连市
鞍山,鞍山市,辽宁,鞍山市
抚顺,抚顺市,辽宁,抚顺市
本溪,本溪市,辽宁,本溪市
丹东,丹东市,辽宁,丹东市
锦州,锦州市,辽宁,锦州市
营口,营口市,辽宁,营口市
阜新,阜新市,辽宁,阜新市
辽阳,辽阳市,辽宁,辽阳市
盘锦,盘锦市,辽宁,盘锦市
铁岭,铁岭市,辽宁,铁岭市
朝阳,朝阳市,辽宁,朝阳市
葫芦岛,葫芦岛市,辽宁,葫芦岛市
长春,长春市,吉林,长春市
吉林,吉林市,吉林,吉林市
四平,四平市,吉林,四平市
辽源,辽源市,吉林,辽源市
通化,通化市,吉林,通化市
白山,白山市,吉林,白山市
松原,松原市,吉林,松原市
白城,白城市,吉林,白城市
延边,延边朝鲜族自治州,吉林,延边朝鲜族自治州
哈尔滨,哈尔滨市,黑龙江,哈尔滨市
齐齐哈尔,齐齐哈尔市,黑龙江,齐齐哈尔市
鸡西,鸡西市,黑龙江,鸡西市
鹤岗,鹤岗市,黑龙江,鹤岗市
双鸭山,双鸭山市,黑龙江,双鸭山市
大庆,大庆市,黑龙江,大庆市
伊春,伊春市,黑龙江,伊春市
佳木斯,佳木斯市,黑龙江,佳木斯市
七台河,七台河市,黑龙江,七台河市
牡丹江,牡丹江市,黑龙江,牡丹江市
黑河,黑河市,黑龙江,黑河市
绥化,绥化市,黑龙江,绥化市
大兴安岭,大兴安岭地区,黑龙江,大兴安岭地区
南京,南京市,江苏,南京市
无锡,无锡市,江苏,无锡市
徐州,徐州市,江苏,徐州市
常州,常州市,江苏,常州市
苏州,苏州市,江苏,苏州市
南通,南通市,江苏,南通市
连云港,连云港市,江苏,连云港市
淮安,淮安市,江苏,淮安市
盐城,盐城市,江苏,盐城市
扬州,扬州市,江苏,扬州市
镇江,镇江市,江苏,镇江市
泰州,泰州市,江苏,泰州市
宿迁,宿迁市,江苏,宿迁市
杭州,杭州市,浙江,杭州市
宁波,宁波市,浙江,宁波市
温州,温州市,浙江,温州市
嘉兴,嘉兴市,浙江,嘉兴市
湖州,湖州市,浙江,湖州市
绍兴,绍兴市,浙江,绍兴市
金华,金华市,浙江,金华市
衢州,衢州市,浙江,衢州市
舟山,舟山市,浙江,舟山市
台州,台州市,浙江,台州市
丽水,丽水市,浙江,丽水市
合肥,合肥市,安徽,合肥市
芜湖,芜湖市,安徽,芜湖市
蚌埠,蚌埠市,安徽,蚌埠市
淮南,淮南市,安徽,淮南市
马鞍山,马鞍山市,安徽,马鞍山市
淮北,淮北市,安徽,淮北市
铜陵,铜陵市,安徽,铜陵市
安庆,安庆市,安徽,安庆市
黄山,黄山市,安徽,黄山市
滁州,滁州市,安徽,滁州市
阜阳,阜阳市,安徽,阜阳市
宿州,宿州市,安徽,宿州市
六安,六安市,安徽,六安市
亳州,亳州市,安徽,亳州市
池州,池州市,安徽,池州市
宣城,宣城市,安徽,宣城市
福州,福州市,福建,福州市
厦门,厦门市,福建,厦门市
莆田,莆田市,福建,莆田市
三明,三明市,福建,三明市
泉州,泉州市,福建,泉州市
漳州,漳州市,福建,漳州市
南平,南平市,福建,南平市
龙岩,龙岩市,福建,龙岩市
宁德,宁德市,福建,宁德市
南昌,南昌市,江西,南昌市
景德镇,景德镇市,江西,景德镇市
萍乡,萍乡市,江西,萍乡市
九江,九江市,江西,九江市
新余,新余市,江西,新余市
鹰潭,鹰潭市,江西,鹰潭市
赣州,赣州市,江西,赣州市
吉安,吉安市,江西,吉安市
宜春,宜春市,江西,宜春市
抚州,抚州市,江西,抚州市
上饶,上饶市,江西,上饶市
济南,济南市,山东,济南市
青岛,青岛市,山东,青岛市
淄博,淄博市,山东,淄博市
枣庄,枣庄市,山东,枣庄市
东营,东营市,山东,东营市
烟台,烟台市,山东,烟台市
潍坊,潍坊市,山东,潍坊市
济宁,济宁市,山东,济宁市
泰安,泰安市,山东,泰安市
威海,威海市,山东,威海市
日照,日照市,山东,日照市
临沂,临沂市,山东,临沂市
德州,德州市,山东,德州市
聊城,聊城市,山东,聊城市
滨州,滨州市,山东,滨州市
菏泽,菏泽市,山东,菏泽市
郑州,郑州市,河南,郑州市
开封,开封市,河南,开封市
洛阳,洛阳市,河南,洛阳市
平顶山,平顶山市,河南,平顶山市
安阳,安阳市,河南,安阳市
鹤壁,鹤壁市,河南,鹤壁市
新乡,新乡市,河南,新乡市
焦作,焦作市,河南,焦作市
濮阳,濮阳市,河南,濮阳市
许昌,许昌市,河南,许昌市
漯河,漯河市,河南,漯河市
三门峡,三门峡市,河南,三门峡市
南阳,南阳市,河南,南阳市
商丘,商丘市,河南,商丘市
信阳,信阳市,河南,信阳市
周口,周口市,河南,周口市
驻马店,驻马店市,河南,驻马店市
武汉,武汉市,湖北,武汉市
黄石,黄石市,湖北,黄石市
十堰,十堰市,湖北,十堰市
宜昌,宜昌市,湖北,宜昌市
襄阳,襄阳市,湖北,襄阳市
鄂州,鄂州市,湖北,鄂州市
荆门,荆门市,湖北,荆门市
孝感,孝感市,湖北,孝感市
荆州,荆州市,湖北,荆州市
黄冈,黄冈市,湖北,黄冈市
咸宁,咸宁市,湖北,咸宁市
随州,随州市,湖北,随州市
恩施,恩施土家族苗族自治州,湖北,恩施土家族苗族自治州
长沙,长沙市,湖南,长沙市
株洲,株洲市,湖南,株洲市
湘潭,湘潭市,湖南,湘潭市
衡阳,衡阳市,湖南,衡阳市
邵阳,邵阳市,湖南,邵阳市
岳阳,岳阳市,湖南,岳阳市
常德,常德市,湖南,常德市
张家界,张家界市,湖南,张家界市
益阳,益阳市,湖南,益阳市
郴州,郴州市,湖南,郴州市
永州,永州市,湖南,永州市
怀化,怀化市,湖南,怀化市
娄底,娄底市,湖南,娄底市
湘西,湘西土家族苗族自治州,湖南,湘西土家族苗族自治州
广州,广州市,广东,广州市
韶关,韶关市,广东,韶关市
深圳,深圳市,广东,深圳市
珠海,珠海市,广东,珠海市
汕头,汕头市,广东,汕头市
佛山,佛山市,广东,佛山市
江门,江门市,广东,江门市
湛江,湛江市,广东,湛江市
茂名,茂名市,广东,茂名市
肇庆,肇庆市,广东,肇庆市
惠州,惠州市,广东,惠州市
梅州,梅州市,广东,梅州市
汕尾,汕尾市,广东,汕尾市
河源,河源市,广东,河源市
阳江,阳江市,广东,阳江市
清远,清远市,广东,清远市
东莞,东莞市,广东,东莞市
中山,中山市,广东,中山市
潮州,潮州市,广东,潮州市
揭阳,揭阳市,广东,揭阳市
云浮,云浮市,广东,云浮市
南宁,南宁市,广西,南宁市
柳州,柳州市,广西,柳州市
桂林,桂林市,广西,桂林市
梧州,梧州市,广西,梧州市
北海,北海市,广西,北海市
防城港,防城港市,广西,防城港市
钦州,钦州市,广西,钦州市
贵港,贵港市,广西,贵港市
玉林,玉林市,广西,玉林市
百色,百色市,广西,百色市
贺州,贺州市,广西,贺州市
河池,河池市,广西,河池市
来宾,来宾市,广西,来宾市
崇左,崇左市,广西,崇左市
海口,海口市,海南,海口市
三亚,三亚市,海南,三亚市
三沙,三沙市,海南,三沙市
儋州,儋州市,海南,儋州市
成都,成都市,四川,成都市
自贡,自贡市,四川,自贡市
攀枝花,攀枝花市,四川,攀枝花市
泸州,泸州市,四川,泸州市
德阳,德阳市,四川,德阳市
绵阳,绵阳市,四川,绵阳市
广元,广元市,四川,广元市
遂宁,遂宁市,四川,遂宁市
内江,内江市,四川,内江市
乐山,乐山市,四川,乐山市
南充,南充市,四川,南充市
眉山,眉山市,四川,眉山市
宜宾,宜宾市,四川,宜宾市
广安,广安市,四川,广安市
达州,达州市,四川,达州市
雅安,雅安市,四川,雅安市
巴中,巴中市,四川,巴中市
资阳,资阳市,四川,资阳市
阿坝,阿坝藏族羌族自治州,四川,阿坝藏族羌族自治州
甘孜,甘孜藏族自治州,四川,甘孜藏族自治州
凉山,凉山彝族自治州,四川,凉山彝族自治州
贵阳,贵阳市,贵州,贵阳市
六盘水,六盘水市,贵州,六盘水市
遵义,遵义市,贵州,遵义市
安顺,安顺市,贵州,安顺市
毕节,毕节市,贵州,毕节市
铜仁,铜仁市,贵州,铜仁市
黔西南,黔西南布依族苗族自治州,贵州,黔西南布依族苗族自治州
黔东南,黔东南苗族侗族自治州,贵州,黔东南苗族侗族自治州
黔南,黔南布依族苗族自治州,贵州,黔南布依族苗族自治州
昆明,昆明市,云南,昆明市
曲靖,曲靖市,云南,曲靖市
玉溪,玉溪市,云南,玉溪市
保山,保山市,云南,保山市
昭通,昭通市,云南,昭通市
丽江,丽江市,云南,丽江市
普洱,普洱市,云南,普洱市
临沧,临沧市,云南,临沧市
楚雄,楚雄彝族自治州,云南,楚雄彝族自治州
红河哈尼族,红河哈尼族彝族自治州,云南,红河哈尼族彝族自治州
文山,文山壮族苗族自治州,云南,文山壮族苗族自治州
西双版纳,西双版纳傣族自治州,云南,西双版纳傣族自治州
大理,大理白族自治州,云南,大理白族自治州
德宏景颇族,德宏傣族景颇族自治州,云南,德宏傣族景颇族自治州
怒江,怒江傈僳族自治州,云南,怒江傈僳族自治州
迪庆,迪庆藏族自治州,云南,迪庆藏族自治州
拉萨,拉萨市,西藏,拉萨市
日喀则,日喀则市,西藏,日喀则市
昌都,昌都市,西藏,昌都市
林芝,林芝市,西藏,林芝市
山南,山南市,西藏,山南市
那曲,那曲市,西藏,那曲市
阿里,阿里地区,西藏,阿里地区
西安,西安市,陕西,西安市
铜川,铜川市,陕西,铜川市
宝鸡,宝鸡市,陕西,宝鸡市
咸阳,咸阳市,陕西,咸阳市
渭南,渭南市,陕西,渭南市
延安,延安市,陕西,延安市
汉中,汉中市,陕西,汉中市
榆林,榆林市,陕西,榆林市
安康,安康市,陕西,安康市
商洛,商洛市,陕西,商洛市
兰州,兰州市,甘肃,兰州市
嘉峪关,嘉峪关市,甘肃,嘉峪关市
金昌,金昌市,甘肃,金昌市
白银,白银市,甘肃,白银市
天水,天水市,甘肃,天水市
武威,武威市,甘肃,武威市
张掖,张掖市,甘肃,张掖市
平凉,平凉市,甘肃,平凉市
酒泉,酒泉市,甘肃,酒泉市
庆阳,庆阳市,甘肃,庆阳市
定西,定西市,甘肃,定西市
陇南,陇南市,甘肃,陇南市
临夏,临夏回族自治州,甘肃,临夏回族自治州
甘南,甘南藏族自治州,甘肃,甘南藏族自治州
西宁,西宁市,青海,西宁市
海东,海东市,青海,海东市
海北,海北藏族自治州,青海,海北藏族自治州
黄南,黄南藏族自治州,青海,黄南藏族自治州
